Бумага,ISIN,"Текущий купон, %","Индикативная цена, %","Индикативная доходность, %","G-spread, бп",Ликвидность,Уровень ликвидности,"Δ индикатив. цены за 1 день, %","Δ индикатив. цены за 1 неделю, %","Δ индикатив. цены за 1 месяц, %","Δ индикатив. цены за 3 месяца, %","Дюрация, дней",Модифицированная дюрация,Оферта (call),"Срок до погашения, лет",Погашение,Страна,Эмитент,SPV,Сектор,Отрасль,Валюта,Статус,Купон,Периодичность купона,Тип ставки,Вид облигации,Непогаш. ном.,Рейтинг эмитента АКРА,Рейтинг эмитента Эксперт РА,Рейтинг эмитента НКР,Рейтинг эмитента НРА,Начало размещения,Окончание размещения,Дата торгов
"Sber CIB, 16% 30apr2026, RUB (ЦФА)",,"16,000",,,,,,,,,,,,,,30.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16% годовых,,Фиксированная,Процент при погашении,"885 303 769,000000",AAA(RU),ruAAA,,,30.01.2026,30.01.2026,
"Sber CIB, 16.05% 14may2026, RUB (ЦФА)",,"16,050",,,,,,,,,,,,,,14.05.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16.05% годовых (расч.),,Фиксированная,Процент при погашении,"4 465 646 534,000000",AAA(RU),ruAAA,,,13.02.2026,13.02.2026,
"Sber CIB, 16.1% 4mar2026, RUB (ЦФА)",,"16,100",,,,,,,,,,,,,,04.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16.1% годовых (расч.),,Фиксированная,Процент при погашении,"1 048 773 250,000000",AAA(RU),ruAAA,,,04.09.2025,04.09.2025,
"Sber CIB, 16.1% 5mar2026, RUB (ЦФА)",,"16,100",,,,,,,,,,,,,,05.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16.1% годовых (расч.),,Фиксированная,Процент при погашении,"203 826 530,000000",AAA(RU),ruAAA,,,05.09.2025,05.09.2025,
"Sber CIB, 16.26% 2mar2026, RUB (ЦФА)",,"16,260",,,,,,,,,,,,,,02.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16.26% годовых (расч.),,Фиксированная,Процент при погашении,"31 936 000,000000",AAA(RU),ruAAA,,,02.09.2025,02.09.2025,
"Sber CIB, 16.5% 12may2026, RUB (ЦФА)",,,,,,,,,,,,,,,,12.05.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,16.5% (расч.),,Фиксированная,Процент при погашении,"160 000 000,000000",AAA(RU),ruAAA,,,10.11.2025,10.11.2025,
"Sber CIB, 17.1% 21apr2026, RUB (ЦФА)",,"17,100",,,,,,,,,,,,,,21.04.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,17.1% годовых (расч.),,Фиксированная,Процент при погашении,"842 120 000,000000",AAA(RU),ruAAA,,,21.10.2025,21.10.2025,
"Sber CIB, 2% 4may2026, RUB (ЦФА)",,,,,,,,,,,,,,,,04.05.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,2% годовых (расч.),,Фиксированная,Процент при погашении,"50 000 000,000000",AAA(RU),ruAAA,,,30.10.2025,31.10.2025,
"Sber CIB, CIB-CO-04",RU000A102XH7,"0,010",,,,,,,,,,,,,,22.06.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,13.04.2021,15.04.2021,
"Sber CIB, CIB-CO-05",RU000A103000,"0,010",,,,,,,,,,,,,,22.06.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,21.04.2021,23.04.2021,
"Sber CIB, CIB-CO-08",RU000A1031P3,"0,010",,,,,,,,,,,,,,22.06.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,24.05.2021,26.05.2021,
"Sber CIB, CIB-CO-12",RU000A1041D8,"0,010",,,,,,,,,,,,02.03.2026,,02.03.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,07.02.2022,09.02.2022,
"Sber CIB, CIB-CO-18",RU000A103AZ5,"0,010","100,35","-0,905","-1 470,83",0,низкая,"-0,10","-0,99","-1,81",,"139,00","0,38",,"0,38",16.07.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Дисконтные,"1 000,000000",AAA(RU),ruAAA,,,30.06.2021,02.07.2021,27.02.2026
"Sber CIB, CIB-CO-19",RU000A103BG3,"0,010",,,,,,,,,,,,,,05.08.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,20.07.2021,22.07.2021,
"Sber CIB, CIB-CO-20",RU000A103DV8,"0,010",,,,,,,,,,,,,,12.08.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,26.07.2021,28.07.2021,
"Sber CIB, CIB-CO-21",RU000A103EM5,"0,010",,,,,,,,,,,,,,12.08.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,26.07.2021,28.07.2021,
"Sber CIB, CIB-CO-22",RU000A103EP8,"0,010",,,,,,,,,,,,,,31.08.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,13.08.2021,17.08.2021,
"Sber CIB, CIB-CO-23",RU000A103J72,"0,010",,,,,,,,,,,,,,14.09.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,27.08.2021,31.08.2021,
"Sber CIB, CIB-CO-34",RU000A1038W4,"0,010",,,,,,,,,,,,,,15.07.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,28.06.2021,30.06.2021,
"Sber CIB, CIB-CO-45",RU000A103463,"0,010",,,,,,,,,,,,,,22.06.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,07.06.2021,09.06.2021,
"Sber CIB, CIB-CO-46",RU000A103786,"0,010",,,,,,,,,,,,,,22.06.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,21.06.2021,23.06.2021,
"Sber CIB, CIB-CO-47",RU000A1038K9,"0,010",,,,,,,,,,,,,,22.06.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,05.07.2021,07.07.2021,
"Sber CIB, CIB-CO-48",RU000A1038Y0,"0,010",,,,,,,,,,,,,,22.06.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,19.07.2021,21.07.2021,
"Sber CIB, CIB-CO-49",RU000A103FZ4,"0,010",,,,,,,,,,,,,,08.09.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,23.08.2021,25.08.2021,
"Sber CIB, CIB-CO-668",RU000A0NX4F6,"0,010",,,,,,,,,,,,,,16.12.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,30.11.2023,04.12.2023,
"Sber CIB, CIB-CO-669",RU000A0NX4G4,"0,010",,,,,,,,,,,,,,21.01.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,25.12.2023,27.12.2023,
"Sber CIB, CIB-CO-675",RU000A0NX4N0,"0,010","51,65","2 437 059 351 727 200 000 000,000","243 705 935 172 720 000 000 000,00",0,низкая,"0,00",,,,"5,25","0,00",,"0,01",04.03.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,12.02.2024,14.02.2024,27.02.2026
"Sber CIB, CIB-CO-676",RU000A0NX4P5,"0,010",,,,,,,,,,,,,,17.03.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,27.02.2024,29.02.2024,
"Sber CIB, CIB-CO-677",RU000A0NX4Q3,"0,010",,,,,,,,,,,,,,12.03.2029,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,22.02.2024,27.02.2024,
"Sber CIB, CIB-CO-678",RU000A0NX4R1,"0,010",,,,,,,,,,,,,,17.02.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,31.01.2024,02.02.2024,
"Sber CIB, CIB-CO-680",RU000A0NX4T7,"0,010","17,25","581,731","56 754,21",0,низкая,"-4,96","-1,15","-0,58",,"334,00","0,13",,"0,92",27.01.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,05.02.2024,07.02.2024,27.02.2026
"Sber CIB, CIB-CO-681",RU000A0NX4U5,"0,010",,,,,,,,,,,,,,05.11.2026,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,13.02.2024,15.02.2024,
"Sber CIB, CIB-CO-685",RU000A0NX4Y7,"0,010",,,,,,,,,,,,,,17.03.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,28.02.2024,01.03.2024,
"Sber CIB, CIB-CO-689",RU000A0NX522,"0,010",,,,,,,,,,,,,,29.03.2027,Россия,Sber CIB,,Корпоративный,Финансовые рынки,RUB,В обращении,1 купон - 0.01% годовых.,1,Фиксированная,Купонные,"1 000,000000",AAA(RU),ruAAA,,,11.03.2024,13.03.2024,
