Бумага,ISIN,Эмитент,Отрасль,Рейтинг эмитента АКРА,rating_score,"Индикативная доходность, %",dur_years,Ликвидность,score
"АФК Система, 001Р-24",RU000A105L27,АФК Система,Холдинги,AA-(RU),3.0,20.138,0.7104657534246576,7.0,93.0
"Атомэнергопром, 001P-07",RU000A10C6L5,Атомэнергопром,Электроэнергетика,AAA(RU),6.0,15.209,3.287013698630137,5.0,93.6
"Авто Финанс Банк, БО-001P-15",RU000A10C6P6,Авто Финанс Банк,Банки,AA(RU),4.0,16.103,1.9701917808219178,7.0,94.10000000000001
"РЖД, 001Р-36R",RU000A10AUE8,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.275,2.1504383561643836,5.0,94.4
"АФК Система, 001P-13",RU000A101Q26,АФК Система,Холдинги,AA-(RU),3.0,19.697,0.6977260273972602,7.0,94.6
"Сбербанк России, ИОС-BSK_FIX_MEM-5Y-001Р-465R",RU000A103LF4,Сбербанк России,Банки,AAA(RU),6.0,16.326,0.5643835616438356,4.0,94.70000000000002
"Полипласт, П02-БО-13",RU000A10DZK8,Полипласт,Химическая и нефтехимическая промышленность,A(RU),1.0,20.255,1.5324931506849315,7.0,95.7
"Ростелеком, 002P-02R",RU000A101FG8,Ростелеком,Связь и телекоммуникация,AAA(RU),6.0,14.989,0.9368493150684931,7.0,95.8
"Россети, 001P-06R",RU000A105559,Россети,Электроэнергетика,AAA(RU),6.0,15.544,0.5009041095890411,6.0,96.2
"Ростелеком, 001P-17R",RU000A10BSL5,Ростелеком,Связь и телекоммуникация,AAA(RU),6.0,14.469,1.3981643835616437,7.0,96.4
"АФК Система, 002P-03",RU000A10BY94,АФК Система,Холдинги,AA-(RU),3.0,18.014,0.9668767123287672,7.0,96.50000000000001
"РусГидро, БО-П06",RU000A1057P8,РусГидро,Электроэнергетика,AAA(RU),6.0,15.104,0.5270958904109588,7.0,96.7
"МТС, 001P-14",RU000A101FH6,МТС,Связь и телекоммуникация,AAA(RU),6.0,14.954,0.9312054794520548,7.0,96.80000000000001
"ДельтаЛизинг, 001Р-03",RU000A10DHT7,ДельтаЛизинг,Лизинг и аренда,AA-(RU),3.0,17.129,1.4616438356164383,7.0,97.0
"Ростелеком, 001P-05R",RU000A100881,Ростелеком,Связь и телекоммуникация,AAA(RU),6.0,15.126,1.3896712328767125,6.0,97.0
"Роснефть, 002P-03",RU000A0ZYLG5,Роснефть,Нефтегазовая отрасль,AAA(RU),6.0,15.085,1.5834246575342468,6.0,97.39999999999999
"Газпром Капитал, БО-001Р-05",RU000A106672,Газпром Капитал,Нефтегазовая отрасль,AAA(RU),6.0,15.49,1.1000273972602739,5.0,98.19999999999999
"Газпром Капитал, БО-001Р-06",RU000A106AT1,Газпром Капитал,Нефтегазовая отрасль,AAA(RU),6.0,15.255,1.829917808219178,5.0,98.19999999999999
"МОЭК, 001Р-05",RU000A105NK5,МОЭК,"Снабжение водой, теплом, газом",AAA(RU),6.0,15.941,0.7798356164383561,4.0,98.3
"ГТЛК, 002Р-04",RU000A10A3Z4,ГТЛК,Лизинг и аренда,AA-(RU),3.0,17.073,1.4129041095890411,7.0,98.4
"ЛК Европлан, 001P-09",RU000A10ASC6,ЛК Европлан,Лизинг и аренда,AA(RU),4.0,16.38,1.100931506849315,7.0,99.5
"Почта России, 003Р-01",RU000A10D3J5,Почта России,Почтовая и курьерская служба,AA(RU),4.0,17.337,1.7631232876712328,6.0,99.69999999999999
"Рольф, 001P-08",RU000A10BQ60,Рольф,Специализированная розничная торговля,A(RU),1.0,24.353,1.07413698630137,7.0,99.8
"РЖД, 001P-14R",RU000A1008D7,РЖД,Железнодорожный транспорт,AAA(RU),6.0,14.76,2.7222191780821916,6.0,100.0
"РЖД, БО-17",RU000A0JWHU2,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.187,3.9524383561643837,5.0,100.10000000000001
"ВТБ-Лизинг, 001Р-МБ-04",RU000A10DTG9,ВТБ-Лизинг,Лизинг и аренда,AA(RU),4.0,16.12,1.2581369863013698,7.0,100.4
"Авто Финанс Банк, БО-001P-16",RU000A10D9K0,Авто Финанс Банк,Банки,AA(RU),4.0,15.965,1.6914520547945204,7.0,100.50000000000001
"КАМАЗ, БО-П18",RU000A10DP93,КАМАЗ,Производство автотранспорта,AA-(RU),3.0,16.688,1.5036712328767123,7.0,100.80000000000001
"Газпром Нефть, 003P-15R",RU000A10BK17,Газпром Нефть,Нефтегазовая отрасль,AAA(RU),6.0,15.166,3.8902739726027398,5.0,100.9
"РЖД, 001P-20R",RU000A101M04,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.435,0.9952602739726026,5.0,100.9
"Россети, 001Р-17R",RU000A10BT34,Россети,Электроэнергетика,AAA(RU),6.0,14.458,1.1555068493150684,7.0,101.10000000000001
"АФК Система, 002P-02",RU000A10BPZ1,АФК Система,Холдинги,AA-(RU),3.0,17.227,1.0845205479452056,7.0,101.20000000000002
"РЖД, 001P-06R",RU000A0ZZ4P9,РЖД,Железнодорожный транспорт,AAA(RU),6.0,15.521,1.3935890410958904,4.0,102.2
"Магнит, БО-005Р-02",RU000A10AXH5,Магнит,FMCG ретейл,AAA(RU),6.0,15.0,0.5085753424657534,7.0,103.0
"Полипласт, П02-БО-05",RU000A10BPN7,Полипласт,Химическая и нефтехимическая промышленность,A(RU),1.0,19.971,1.066849315068493,7.0,103.60000000000001
"Рольф, 001P-07",RU000A10ASE2,Рольф,Специализированная розничная торговля,A(RU),1.0,24.533,0.8113972602739726,7.0,104.4
"Газпром Капитал, БО-001Р-04",RU000A101QN1,Газпром Капитал,Нефтегазовая отрасль,AAA(RU),6.0,15.263,1.193095890410959,5.0,104.4
